epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,2039.27,0.34305,0.84553,1,0.4595,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2070.73,0.3282,0.84615,1,0.46419,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2105.74,0.32652,0.84678,1,0.46265,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2140.5,0.31674,0.84574,1,0.46193,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2174.54,0.32226,0.84574,1,0.46197,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2208.39,0.31938,0.84511,1,0.46586,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2242.05,0.30903,0.84532,1,0.46394,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2276.08,0.30601,0.84449,1,0.46466,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2307.99,0.30416,0.84407,1,0.46815,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2339.22,0.29537,0.84449,1,0.46685,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2370,0.29319,0.84449,1,0.46859,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2402.18,0.28517,0.84449,1,0.46801,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2435.57,0.28125,0.8447,1,0.46875,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2469.29,0.27462,0.84532,1,0.47253,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2501.93,0.27165,0.84553,1,0.47223,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2535.05,0.26449,0.8447,1,0.46991,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2566.77,0.26307,0.84574,1,0.47103,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2598.33,0.25325,0.84511,1,0.4811,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2629.9,0.25568,0.84511,1,0.47745,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2661.48,0.24171,0.84491,1,0.4766,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2692.48,0.23936,0.84574,1,0.47924,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2724.07,0.23321,0.84595,1,0.47816,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2755.99,0.22877,0.84636,1,0.4821,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2787.5,0.21915,0.84595,1,0.48218,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,2818.78,0.2173,0.84615,1,0.48281,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,2850.4,0.20881,0.84595,1,0.48503,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2882.56,0.20906,0.84699,1,0.48545,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2953.04,0.20055,0.84699,1,0.49036,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2990.65,0.19162,0.84699,1,0.49145,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3025.83,0.18751,0.84636,1,0.49395,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3058.22,0.18112,0.84615,1,0.49181,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3089.96,0.18288,0.84699,1,0.49358,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3121.15,0.17024,0.84678,1,0.49599,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3153.26,0.17065,0.84636,1,0.50238,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3183.71,0.15635,0.84636,1,0.50143,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3215.6,0.15634,0.84511,1,0.50277,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3248.51,0.15171,0.84574,1,0.50593,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
